Year,GDP-UK billions,Population-UK million,Public Net Debt-total percent GDP,,Interest-total percent GDP,,Balance-total percent GDP,Total Spending-total percent GDP,,Pensions-total percent GDP,
1868,1.001,30.828,74.91,a,3.12,a,0,10.5,a,0,a
1869,1.006,31.083,74.65,a,3.14,a,0,10.67,a,0,a
1870,1.064,31.341,70.33,a,3.06,a,0,9.16,a,0,a
1871,1.15,31.6,64.18,a,2.85,a,0,8.77,a,0,a
1872,1.22,31.925,60.4,a,2.73,a,0,8.54,a,0,a
1873,1.28,32.253,57.2,a,2.65,a,0,8.17,a,0,a
1874,1.272,32.584,57.23,a,2.71,a,0,8.97,a,0,a
1875,1.245,32.919,57.83,a,2.86,a,0,9.39,a,0,a
1876,1.229,33.257,59,a,2.93,a,0,9.87,a,0,a
1877,1.216,33.598,59.75,a,3.01,a,0,10.49,a,0,a
1878,1.184,33.943,61.77,a,3.13,a,0,11.18,a,0,a
1879,1.142,34.292,64.39,a,3.31,a,0,12.14,a,0,a
1880,1.218,34.644,60.57,a,3.15,a,0,11.13,a,0,a
1881,1.243,35,58.83,a,3.2,a,0,11.03,a,0,a
1882,1.283,35.28,56.7,a,3.41,a,0,11.14,a,0,a
1883,1.285,35.562,56.57,a,3.11,a,0,11.22,a,0,a
1884,1.244,35.846,52.63,a,3.13,a,0,11.41,a,0,a
1885,1.217,36.132,53.76,a,3.2,a,0,12.06,a,0,a
1886,1.226,36.421,53.55,a,2.73,a,0,12.26,a,0,a
1887,1.278,36.712,51.27,a,3.03,a,0,11.58,a,0,a
1888,1.333,37.006,47.04,a,2.72,a,0,10.95,a,0,a
1889,1.408,37.301,44.26,a,2.58,a,0,10.3,a,0,a
1890,1.442,37.6,42.87,a,2.47,a,0,10.43,a,0,a
1891,1.444,37.9,42.63,a,2.44,a,0,10.78,a,0,a
1892,1.405,38.255,43.65,a,2.5,a,0,11.68,a,0,a
1893,1.406,38.613,43.41,a,2.63,a,0,12.53,a,0,a
1894,1.484,38.974,41.04,a,2.53,a,0,12.48,a,0,a
1895,1.521,39.339,39.67,a,2.52,a,0,12.51,a,0,a
1896,1.57,39.707,38.16,a,2.43,a,0,12.54,a,0,a
1897,1.616,40.079,36.25,a,2.45,a,0,12.72,a,0,a
1898,1.705,40.454,34.83,a,2.35,a,0,12.62,a,0,a
1899,1.809,40.832,32.69,a,2.24,a,0,12.67,a,0,a
1900,1.885,41.214,30.17,a,2.22,a,0,14.06,a,0,a
